trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,FALSE,"{'a': 0.5, 'e': 0.9588496310845509}",20,0,-42.83148524,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,FALSE,"{'a': 0.5, 'e': 0.9578907814534663}",20,0,-92.16017627,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,FALSE,"{'a': 0.5, 'e': 0.9569328906720128}",20,0,-58.31274392,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
45,FALSE,"{'a': 0.5, 'e': 0.9559759577813408}",30,0,-123.996314,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
46,FALSE,"{'a': 0.5, 'e': 0.9550199818235595}",20,0,-72.09124484,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
47,FALSE,"{'a': 0.5, 'e': 0.954064961841736}",20,0,-70.99318962,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
48,FALSE,"{'a': 0.5, 'e': 0.9531108968798943}",25,4,-80.34219972,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 0}",1
49,FALSE,"{'a': 0.5, 'e': 0.9521577859830144}",25,2,-81.20868255,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 1}",1
50,FALSE,"{'a': 0.5, 'e': 0.9512056281970314}",20,0,-106.8687922,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
51,FALSE,"{'a': 0.5, 'e': 0.9502544225688343}",20,11,-44.48477135,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
52,FALSE,"{'a': 0.5, 'e': 0.9493041681462654}",30,0,-53.06653985,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
53,FALSE,"{'a': 0.5, 'e': 0.9483548639781192}",25,0,-35.86928955,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
54,FALSE,"{'a': 0.5, 'e': 0.947406509114141}",25,0,-88.63092891,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
55,FALSE,"{'a': 0.5, 'e': 0.9464591026050269}",20,6,-58.28543042,"{0: 6, 1: 2, 2: 6, 3: 0, 4: 0}",1
56,FALSE,"{'a': 0.5, 'e': 0.9455126435024219}",35,27,1.985938114,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,FALSE,"{'a': 0.5, 'e': 0.9445671308589194}",25,0,-68.64398094,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
58,FALSE,"{'a': 0.5, 'e': 0.9436225637280605}",35,0,-46.96165665,"{0: 26, 1: 3, 2: 6, 3: 0, 4: 0}",0
59,FALSE,"{'a': 0.5, 'e': 0.9426789411643325}",30,0,-97.03215809,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
60,FALSE,"{'a': 0.5, 'e': 0.9417362622231682}",20,0,-68.86191202,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
61,FALSE,"{'a': 0.5, 'e': 0.9407945259609449}",20,0,-95.93316586,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
62,FALSE,"{'a': 0.5, 'e': 0.9398537314349841}",20,0,-38.60949679,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
63,FALSE,"{'a': 0.5, 'e': 0.9389138777035491}",25,0,-147.6125043,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
64,FALSE,"{'a': 0.5, 'e': 0.9379749638258456}",20,0,-58.44152165,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
65,FALSE,"{'a': 0.5, 'e': 0.9370369888620197}",25,0,-79.75546245,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
