trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.47874219154619,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-33.578545873027444,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.98422495819105,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.358422620615045,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.621918934701036,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-108.04015360836473,"{0: 21, 1: 4, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.56080754736908,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
