trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1661,False,"{'a': 0.5, 'e': 0.18979114389644655}",30,12,0.4784062978613617,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
1662,False,"{'a': 0.5, 'e': 0.18960135275255008}",20,12,6.132124282764641,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
1663,False,"{'a': 0.5, 'e': 0.18941175139979755}",20,5,6.294735631793406,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
1664,False,"{'a': 0.5, 'e': 0.18922233964839774}",25,4,24.010199540426505,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1665,False,"{'a': 0.5, 'e': 0.18903311730874933}",20,12,14.976649997476455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1666,False,"{'a': 0.5, 'e': 0.1888440841914406}",20,10,19.413761732445423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1667,False,"{'a': 0.5, 'e': 0.18865524010724916}",30,17,14.20207787921068,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1668,False,"{'a': 0.5, 'e': 0.1884665848671419}",20,12,18.958728665642557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1669,False,"{'a': 0.5, 'e': 0.18827811828227475}",25,13,23.7130186273794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1670,False,"{'a': 0.5, 'e': 0.1880898401639925}",20,14,11.212387259692372,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1671,False,"{'a': 0.5, 'e': 0.1879017503238285}",25,6,6.62642809808382,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
1672,False,"{'a': 0.5, 'e': 0.18771384857350468}",20,11,17.534460522469654,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1673,False,"{'a': 0.5, 'e': 0.18752613472493115}",25,16,-21.528634048543264,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
1674,False,"{'a': 0.5, 'e': 0.18733860859020623}",20,6,-4.997360626636423,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
1675,False,"{'a': 0.5, 'e': 0.18715126998161602}",20,3,15.059258742157168,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1676,False,"{'a': 0.5, 'e': 0.1869641187116344}",35,22,27.723886636575656,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1677,False,"{'a': 0.5, 'e': 0.18677715459292277}",20,8,-7.393440643019339,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
1678,False,"{'a': 0.5, 'e': 0.18659037743832985}",20,8,8.340135566643399,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
